	 ###ORAR 4C2 ####
	 Semestrul I    Anul universitar 2014 – 2015
Facultatea: AUTOMATICA SI CALCULATOARE
Specializarea: CALCULATOARE
ZIUA,ORA,341C2,,342C2,,Optional 1 si 2,
,,Disciplina si sala,,Disciplina si sala,,Disciplina si sala,
LUNI,08-09,
,09-10,
,10-11,,SI(1) - ED218{2},,,,,
,11-12,,SI(1) - ED218{2},,,,,
,12-13,,,,,,SI(1) - ED218{2},
,13-14,,,,,,SI(1) - ED218{2},
,14-15,,,SI(1) - ED218,,,,
,15-16,,,SI(1) - ED218,,,,
,16-17,,,,,SI(1) - ED218{1},,
,17-18,,,,,SI(1) - ED218{1},,
,18-19,SI(1) - ED218{1},,,,,,
,19-20,SI(1) - ED218{1},,,,,,
,20-21,
,21-22,
MARTI,08-09,MP(2) - BN212[1]#BM(2) - BN212[2],,MP(2) - BN212[1]#BM(2) - BN212[2],,MP(2) - BN212[1]#BM(2) - BN212[2],,
,09-10,MP(2) - BN212[1]#BM(2) - BN212[2],,MP(2) - BN212[1]#BM(2) - BN212[2],,MP(2) - BN212[1]#BM(2) - BN212[2],,
,10-11,"Sisteme Incorporate (c), S.l. D. TUDOSE (EC002)"
,11-12,"Sisteme Incorporate (c), S.l. D. TUDOSE (EC002)"
,12-13,"Sisteme Incorporate (c), S.l. D. TUDOSE (EC002)"
,13-14,"Sisteme cu Microprocesoare (c), Conf. C. Popescu (EC002)"
,14-15,"Sisteme cu Microprocesoare (c), Conf. C. Popescu (EC002)"
,15-16,"Sisteme cu Microprocesoare (c), Conf. C. Popescu (EC002)"
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
MIERCURI,08-09,
,09-10,"Prelucrarea Semnalelor (c), S.L. C. CHERA (EC102)"
,10-11,"Prelucrarea Semnalelor (c), S.L. C. CHERA (EC102)"
,11-12,"Prelucrarea Semnalelor (c), S.L. C. CHERA (EC102)"
,12-13,,PS(1) - EG206{2},PS(1) - EG405{1},,SI(1) - ED218{1},,
,13-14,,PS(1) - EG206{2},PS(1) - EG405{1},,SI(1) - ED218{1},,
,14-15,,,SM(1) - ED220,,,PS(1) - EG206{2},
,15-16,,,SM(1) - ED220,,,PS(1) - EG206{2},
,16-17,,,PS(1) - EG206,,SM(1) - ED220{1},,
,17-18,,,PS(1) - EG206,,SM(1) - ED220{1},,
,18-19,
,19-20,
,20-21,
,21-22,
JOI,08-09,
,09-10,
,10-11,
,11-12,
,12-13,
,13-14,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,,,,,,SM(1) - ED220{2},
,19-20,,,,,,SM(1) - ED220{2},
,20-21,
,21-22,
VINERI,08-09,PS(1) - EG405{1},"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)"SM(1) - EG206{2},,,,,
,09-10,PS(1) - EG405{1},"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)"SM(1) - EG206{2},,,,,
,10-11,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]"#"BAZELE MANAGEMENTULUI (c), prof. Doina Serban (AN034)[2]"
,11-12,"MANAGEMENTUL PROIECTELOR (c), prof. Doina Serban (AN034)[1]"#"BAZELE MANAGEMENTULUI (c), prof. Doina Serban (AN034)[2]"
,12-13,SM(1) - EG206{1},,,,,,
,13-14,SM(1) - EG206{1},,,,,,
,14-15,
,15-16,
,16-17,
,17-18,
,18-19,
,19-20,
,20-21,
,21-22,
E
