	 ###ORAR de folosire a salilor de seminar ####
	 Semestrul I    Anul universitar 2014 – 2015
,LUNI,,,,,,,,,,,,,,MARTI,,,,,,,,,,,,,,MIERCURI,,,,,,,,,,,,,,JOI,,,,,,,,,,,,,,VINERI,,,,,,,,,,,,,,
AN212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Logica Seria1(sem)[2]"," Logica Seria1(sem)[2]",,,,,,,,,,,,," Logica Seria1(sem)[1]"" Logica Seria1(sem)[2]"," Logica Seria1(sem)[1]"" Logica Seria1(sem)[2]",,,,,,,,,,,
A02Leu,,,,,,,," MATEMATICA 2 Seria1"," MATEMATICA 2 Seria1"," MATEMATICA 2 Seria1",,,,,," PROIECTARE LOGICA Seria1"," PROIECTARE LOGICA Seria1"," PROIECTARE LOGICA Seria1",,,,,,,,,,,," MATEMATICA 1 Seria2"," MATEMATICA 1 Seria2"," MATEMATICA 1 Seria2"," MATEMATICA 2 Seria2"," MATEMATICA 2 Seria2"," MATEMATICA 2 Seria2"," CALCULATOARE NUMERICE II Seria6"," CALCULATOARE NUMERICE II Seria6"," CALCULATOARE NUMERICE II Seria6",,,,,,,,,," MATEMATICA 1 Seria0"," MATEMATICA 1 Seria0"" FILOZOFIE COGNITIVISTA Seria3[2]"," MATEMATICA 1 Seria0"" FILOZOFIE COGNITIVISTA Seria3[2]",,," PSIHOLOGIA EDUCATIEI Seria0"" PSIHOLOGIA EDUCATIEI Seria1"" PSIHOLOGIA EDUCATIEI Seria2"," PSIHOLOGIA EDUCATIEI Seria0"" PSIHOLOGIA EDUCATIEI Seria1"" PSIHOLOGIA EDUCATIEI Seria2",,,,,,,,," Logica Seria1(sem)[1]"" ISTORIA FILOZOFIEI Seria2[2]"," Logica Seria1(sem)[1]"" ISTORIA FILOZOFIEI Seria2[2]",,,,,,,
BN314,,,,," IF Seria2(sem)[2]"" IF Seria2(sem)[2]"," IF Seria2(sem)[2]"" IF Seria2(sem)[2]"," IF Seria2(sem)[2]"" IF Seria2(sem)[2]"," IF Seria2(sem)[2]"" IF Seria2(sem)[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED112,,," TS Seria5(lab)[1]"," TS Seria5(lab)[1]",,," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]",,,,," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(sem)[2]"," TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria3(sem)[2]"," TS Seria3(sem)[2]",,," TS Seria5(sem)"," TS Seria5(sem)"," TS Seria5(sem)[2]"," TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," APPI Seria26(sem)[1]"," APPI Seria26(sem)[1]"," APPI Seria26(sem)[1]"" APPI Seria26(sem)[1]"," APPI Seria26(sem)[1]"" APPI Seria26(sem)[1]",,," TS Seria4(sem)[2]"," TS Seria4(sem)[2]"," TS Seria5(lab)[1]"," TS Seria5(lab)[1]"," TS Seria3(lab)[1]"," TS Seria3(lab)[1]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"," TS Seria4(lab)[1]",,,,,,,,," TS Seria3(lab)[1]"," TS Seria3(lab)[1]",,,,,,,
BN217,,,,,,,,,,,,,,," EG Seria6(sem)[2]"" EG Seria8(sem)[1]"," EG Seria6(sem)[2]"" EG Seria8(sem)[1]"," EG Seria7(sem)[2]"" EG Seria7(sem)[1]"," EG Seria7(sem)[2]"" EG Seria7(sem)[1]"," EG Seria7(sem)[1]"" EG Seria8(sem)[2]"," EG Seria7(sem)[1]"" EG Seria8(sem)[2]",,,,,,,,,,,,," EG Seria8(sem)[1]"," EG Seria8(sem)[1]"," EG Seria7(sem)[1]"," EG Seria7(sem)[1]",,,,,,,,,,,,," EG Seria6(sem)[1]"" EG Seria8(sem)[2]"," EG Seria6(sem)[1]"" EG Seria8(sem)[2]"," EG Seria6(sem)[2]"" EG Seria6(sem)[1]"," EG Seria6(sem)[2]"" EG Seria6(sem)[1]",,,,,,,,,,,,,,,,,,,
EG404,,," IA Seria12(lab)"," IA Seria12(lab)"," IA Seria12(lab)"" IA Seria12(lab)"," IA Seria12(lab)"" IA Seria12(lab)",,," SVV Seria29(lab)"," SVV Seria29(lab)"," KRR Seria19(lab)"," KRR Seria19(lab)",,,,," CV Seria17(p)"," CV Seria17(p)"," IA Seria12(lab)"," IA Seria12(lab)"," Tehnici de programare pentru prelucrari grafice de inalta performanta Seria18"," Tehnici de programare pentru prelucrari grafice de inalta performanta Seria18"," Self-organizing Systems Seria29"," Self-organizing Systems Seria29"," SOS Seria29(p)"," SOS Seria29(p)",,,,,,," LFA Seria8(sem)"," LFA Seria8(sem)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," DM Seria19(p)"" DM Seria19(p)"," DM Seria19(p)"" DM Seria19(p)",,,,,,,,,,," IA Seria12(lab)"," IA Seria12(lab)"," RCS Seria20(lab)"," RCS Seria20(lab)",,,,,,," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)",,,,,,,
EG103," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)",,," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,," POO Seria3(lab)"," POO Seria3(lab)"," POO Seria3(lab)"," POO Seria3(lab)"," UBD Seria13(lab)"," UBD Seria13(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)"," BD Seria11(lab)",,,,,,," LFA Seria8(sem)"," LFA Seria8(sem)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)"," IOCLA Seria5(lab)[1]"," IOCLA Seria5(lab)[1]",,,,," ISBD Seria15(lab)[1]"" ISBD Seria15(lab)[2]"" ISBD Seria15(lab)[1]"," ISBD Seria15(lab)[1]"" ISBD Seria15(lab)[2]"" ISBD Seria15(lab)[1]"," UBD Seria13(lab)"," UBD Seria13(lab)"," SABD Seria15(lab)[1]"" SABD Seria15(lab)[2]"" SABD Seria15(lab)[1]"," SABD Seria15(lab)[1]"" SABD Seria15(lab)[2]"" SABD Seria15(lab)[1]"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,,,,
BN212," MP Seria12(sem)[1]"," MP Seria12(sem)[1]"," MP Seria11(sem)[1]"," MP Seria11(sem)[1]"," MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]"," MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]",,,,,,,,," MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" BM Seria11(sem)[2]"," MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" BM Seria11(sem)[2]"," BM Seria9(sem)[2]"" BM Seria11(sem)[2]"" BM Seria12(sem)[2]"," BM Seria9(sem)[2]"" BM Seria11(sem)[2]"" BM Seria12(sem)[2]"," BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" MP Seria11(sem)[1]"" BM Seria11(sem)"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]"," BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" MP Seria11(sem)[1]"" BM Seria11(sem)"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]",,,,,,,,,,,,,,,,,," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R417,,,,,,,,,,,,,,,,," CCS Seria17(sem)"," CCS Seria17(sem)"," CCS Seria17(sem)"," CCS Seria17(sem)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04Leu," ISTORIA RELIGIILOR Seria0[2]"," ISTORIA RELIGIILOR Seria0[2]",,,,,,,,,,,,,,,,,,," ELEMENTE DE GRAFICA PE CALCULATOR Seria8"," ELEMENTE DE GRAFICA PE CALCULATOR Seria8"," ELEMENTE DE GRAFICA PE CALCULATOR Seria8"," Aplicatii Integrate pentru Intreprinderi Seria12"," Aplicatii Integrate pentru Intreprinderi Seria12"," Aplicatii Integrate pentru Intreprinderi Seria12",,,,,,," Logica Seria1(sem)[2]"," Logica Seria1(sem)[2]",,,,,,,,,,,,,,," FILOZOFIA CULTURII TEHNICE Seria4[1]"," FILOZOFIA CULTURII TEHNICE Seria4[1]"," PEDAGOGIE Seria3"," PEDAGOGIE Seria3"," MATEMATICA 4 Seria3"" MATEMATICA 4 Seria5"," MATEMATICA 4 Seria3"" MATEMATICA 4 Seria5",,,,,,," LOGICA Seria1[1]"," LOGICA Seria1[1]",,,,,,,,,
ED314,,," EEA Seria5(sem)[2]"," EEA Seria5(sem)[2]"," EEA Seria5(sem)[2]"," EEA Seria5(sem)[2]"," EEA Seria3(sem)[1]"" EEA Seria4(sem)[2]"," EEA Seria3(sem)[1]"" EEA Seria4(sem)[2]"," EEA Seria4(sem)[2]"," EEA Seria4(sem)[2]",,,,," EEA Seria3(sem)[1]"" EEA Seria3(sem)[2]"," EEA Seria3(sem)[1]"" EEA Seria3(sem)[2]"," EEA Seria3(sem)[2]"" EEA Seria3(sem)[1]"" EEA Seria5(sem)[1]"," EEA Seria3(sem)[2]"" EEA Seria3(sem)[1]"" EEA Seria5(sem)[1]"," EEA Seria5(sem)[2]"" EEA Seria5(sem)[1]"," EEA Seria5(sem)[2]"" EEA Seria5(sem)[1]"," EEA Seria4(sem)[2]"," EEA Seria4(sem)[2]",,,,,,,,,,," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]",,,,,,,
AN211,,,,," Engleza Seria5(sem)[1]"," Engleza Seria5(sem)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
