	 ###ORAR de folosire a salilor de curs ####
	 Semestrul I    Anul universitar 2014 – 2015
,LUNI,,,,,,,,,,,,,,MARTI,,,,,,,,,,,,,,MIERCURI,,,,,,,,,,,,,,JOI,,,,,,,,,,,,,,VINERI,,,,,,,,,,,,,,
EG305," II Seria2(lab)[1]"," II Seria2(lab)[1]"," II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[1]"" II Seria1(lab)[1]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[1]"" II Seria1(lab)[1]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," Baze de Date II Seria11"," Baze de Date II Seria11"," Baze de Date II Seria11",," II Seria0(lab)[1]"," II Seria0(lab)[1]",,,,,,," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)",,," II Seria1(lab)[2]"," II Seria1(lab)[2]",,,,,,," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," MPSIT Seria26(lab)"," MPSIT Seria26(lab)"," Managementul Proiectelor si serviciilor IT Seria26"," Managementul Proiectelor si serviciilor IT Seria26"," MPSIT Seria26(lab)"" MPSIT Seria26(lab)"," MPSIT Seria26(lab)"" MPSIT Seria26(lab)",,,,," II Seria1(lab)[2]"," II Seria1(lab)[2]"," II Seria1(lab)[2]"" II Seria1(lab)[1]"" II Seria2(lab)[2]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," II Seria1(lab)[2]"" II Seria1(lab)[1]"" II Seria2(lab)[2]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," Proiectarea aplicatiilor J2EE Seria26"," Proiectarea aplicatiilor J2EE Seria26"," PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)"," PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)",,," Implementarea sistemelor de baze de date Seria15"," Implementarea sistemelor de baze de date Seria15"," II Seria1(lab)[1]"," II Seria1(lab)[1]"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)",,," IOCLA Seria3(lab)"," IOCLA Seria3(lab)",,,,,
ED220," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria8(lab)"," CN Seria8(lab)",,,,,,,,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria7(lab)"," CN Seria7(lab)",,,,,,,,," E-Government Seria16"," E-Government Seria16"," E-GOV Seria16(lab)[1]"" E-GOV Seria16(lab)[2]"" E-GOV Seria16(lab)[1]"," E-GOV Seria16(lab)[1]"" E-GOV Seria16(lab)[2]"" E-GOV Seria16(lab)[1]"," CN Seria8(lab)"," CN Seria8(lab)"," SM Seria10(lab)"," SM Seria10(lab)"," SM Seria10(lab)"," SM Seria10(lab)",,,,,,,,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria8(lab)",,," SM Seria10(lab)"," SM Seria10(lab)",,,,,,,,,,,,,,,,,
AN210,,,,," LFA Seria8(sem)"," LFA Seria8(sem)"," LFA Seria6(sem)"," LFA Seria6(sem)"," LFA Seria6(sem)"," LFA Seria6(sem)",,,,," LFA Seria6(sem)"" Categorii si Computer Science Seria17"," LFA Seria6(sem)"" Categorii si Computer Science Seria17",,," PSI Seria5(sem)[1]"," PSI Seria5(sem)[1]"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)",,,,,,," Mat2 Seria0(sem)"," Mat2 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria0(sem)"," Mat1 Seria2(sem)"," Mat1 Seria2(sem)"," Mat1 Seria2(sem)"," Mat1 Seria2(sem)",,,,,," Mat2 Seria0(sem)"," Mat2 Seria0(sem)",,,,,,,,,,,,,,,,,,,,,,,,
EG204,,,,,,,,,,,,,,,,,,," TM3D Seria18(lab)"," TM3D Seria18(lab)",,," MG3DTR Seria28(p)"," MG3DTR Seria28(p)"," Dezvoltarea Sistemelor de Realitate Virtuala Seria28"," Dezvoltarea Sistemelor de Realitate Virtuala Seria28"," DSRV Seria28(p)"," DSRV Seria28(p)",,,,,,,,,,,,,,,,," Tehnici de modelare 3D Seria18"," Tehnici de modelare 3D Seria18"," TM3D Seria18(lab)"," TM3D Seria18(lab)"," IRV Seria18(lab)"," IRV Seria18(lab)"," IRV Seria18(lab)"," IRV Seria18(lab)"," Introducere in Realitatea Virtuala Seria18"," Introducere in Realitatea Virtuala Seria18",,,,,,,,,,," Motoare de grafica 3D in timp real Seria28"," Motoare de grafica 3D in timp real Seria28"," Dezvoltarea aplicatiilor grafice pentru dispozitive mobile Seria28"," Dezvoltarea aplicatiilor grafice pentru dispozitive mobile Seria28"," DAGDM Seria28(lab)"," DAGDM Seria28(lab)",
EG404,,," IA Seria12(lab)"," IA Seria12(lab)"," IA Seria12(lab)"" IA Seria12(lab)"," IA Seria12(lab)"" IA Seria12(lab)",,," SVV Seria29(lab)"," SVV Seria29(lab)"," KRR Seria19(lab)"," KRR Seria19(lab)",,,,," CV Seria17(p)"," CV Seria17(p)"," IA Seria12(lab)"," IA Seria12(lab)"," Tehnici de programare pentru prelucrari grafice de inalta performanta Seria18"," Tehnici de programare pentru prelucrari grafice de inalta performanta Seria18"," Self-organizing Systems Seria29"," Self-organizing Systems Seria29"," SOS Seria29(p)"," SOS Seria29(p)",,,,,,," LFA Seria8(sem)"," LFA Seria8(sem)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," DM Seria19(p)"" DM Seria19(p)"," DM Seria19(p)"" DM Seria19(p)",,,,,,,,,,," IA Seria12(lab)"," IA Seria12(lab)"," RCS Seria20(lab)"," RCS Seria20(lab)",,,,,,," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)",,,,,,,
ED202,,,,," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)",,," APP Seria9(lab)"," APP Seria9(lab)"," ASR Seria33(lab)"," ASR Seria33(lab)",,," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," PP Seria22(lab)"" PP Seria22(lab)"" PP Seria22(lab)"," PP Seria22(lab)"" PP Seria22(lab)"" PP Seria22(lab)"," Parallel Programming Seria22"," Parallel Programming Seria22",,," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," APP Seria9(lab)"," SPD Seria25(lab)"" SPD Seria25(lab)"," SPD Seria25(lab)"" SPD Seria25(lab)"," Sisteme paralele si distribuite Seria25"" Sisteme paralele si distribuite Seria33"," Sisteme paralele si distribuite Seria25"" Sisteme paralele si distribuite Seria33"," SPD Seria25(lab)"," SPD Seria25(lab)",,," Sisteme de regasire a informatiei Seria30"," Sisteme de regasire a informatiei Seria30"," SRI Seria30(lab)"," SRI Seria30(lab)",,,,," MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"," MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"" MTPHPC Seria25(lab)"," Metode si tehnici de programare in High Performance Computing Seria25"," Metode si tehnici de programare in High Performance Computing Seria25",,," SCI Seria30(p)"," SCI Seria30(p)",,,,,,," TCST Seria17(lab)"" TCST Seria17(lab)"," TCST Seria17(lab)"" TCST Seria17(lab)",,,,,
EF001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," SA-VLSI Seria14(lab)"," SA-VLSI Seria14(lab)"," Structuri avansate VLSI Seria14"," Structuri avansate VLSI Seria14"," SA-VLSI Seria14(lab)"" SA-VLSI Seria14(lab)"," SA-VLSI Seria14(lab)"" SA-VLSI Seria14(lab)",,,,,,,,," Circuite inteligente bazate pe logica fuzzy Seria14"," Circuite inteligente bazate pe logica fuzzy Seria14"," CIBLF Seria14(lab)"" CIBLF Seria14(lab)"," CIBLF Seria14(lab)"" CIBLF Seria14(lab)",,,,,,,,,,,,,,,,,
EG206," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)",,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," SMP Seria9(lab)"," SMP Seria9(lab)"," SMP Seria9(lab)"" SMP Seria9(lab)"," SMP Seria9(lab)"" SMP Seria9(lab)"," SMP Seria9(lab)"," SMP Seria9(lab)",,," Luarea deciziilor in e-guvernare Seria27"," Luarea deciziilor in e-guvernare Seria27"," LD Seria27(lab)"," LD Seria27(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," PS Seria10(lab)",,,,," CN Seria8(lab)"," CN Seria8(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)"," CN Seria6(lab)",,,,," SM Seria10(lab)"," SM Seria10(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," SM Seria10(lab)"," SM Seria10(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)"," CN Seria7(lab)",,,,,
EB215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Neural Networks Seria29"," Neural Networks Seria29"," NNT Seria29(p)[1]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"," NNT Seria29(p)[1]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"," NNT Seria29(lab)[2]"," NNT Seria29(lab)[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED321,,,,,,,,,,,,,,,,,,,,," Knowledge Engineering and Services Ecosystem Seria26"," Knowledge Engineering and Services Ecosystem Seria26"," KESE Seria26(lab)",,,,,,,,,,,,,,,,,,,,,,,,," Business Service Integration and Management Seria34[1]"," Business Service Integration and Management Seria34[1]"," Business Service Integration and Management Seria34[1]"," Business Service Integration and Management Seria34[1]",,,,,,,,,,,,,,,,,,,,
EG205," CC Seria24(lab)"," CC Seria24(lab)",,," CC Seria16(lab)"" CC Seria16(lab)"," CC Seria16(lab)"" CC Seria16(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)",,," SPRC Seria11(lab)"," SPRC Seria11(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)",,," DAI Seria20(lab)"" DAI Seria20(lab)"," DAI Seria20(lab)"" DAI Seria20(lab)",,," Progr Seria0(lab)"," Progr Seria0(lab)"," SSI Seria32(lab)"" SSI Seria32(lab)"," SSI Seria32(lab)"" SSI Seria32(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Managementul Proiectelor si serviciilor IT Seria34"," Managementul Proiectelor si serviciilor IT Seria34"," MPSIT Seria34(lab)"" MPSIT Seria34(lab)"" MPSIT Seria34(lab)"," MPSIT Seria34(lab)"" MPSIT Seria34(lab)"" MPSIT Seria34(lab)",,," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)",,," AII Seria12(lab)"," AII Seria12(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)",,," PSD Seria27(lab)[1]"" PSD Seria34(lab)[2]"," PSD Seria27(lab)[1]"" PSD Seria34(lab)[2]",,," Progr Seria0(lab)"," Progr Seria0(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)",,,,,
ED218,,," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)",,,,,,,,,,," Retele Wireless de Senzori Seria25"," Retele Wireless de Senzori Seria25"," RWS Seria25(p)"," RWS Seria25(p)",,,,,,," SI Seria10(lab)"," SI Seria10(lab)"," SPD Seria33(lab)"" SPD Seria33(lab)"," SPD Seria33(lab)"" SPD Seria33(lab)",,," SPD Seria33(lab)"," SPD Seria33(lab)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
