	 ###ORAR de folosire a salilor de laborator ####
	 Semestrul I    Anul universitar 2014 – 2015
,LUNI,,,,,,,,,,,,,,MARTI,,,,,,,,,,,,,,MIERCURI,,,,,,,,,,,,,,JOI,,,,,,,,,,,,,,VINERI,,,,,,,,,,,,,,
EG405,,," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," POO Seria4(lab)"" MPS Seria13(lab)"," POO Seria4(lab)"" MPS Seria13(lab)"," MPS Seria13(lab)"," MPS Seria13(lab)",,," SAAPI Seria18(lab)"," SAAPI Seria18(lab)"," MASD Seria32(lab)"" MASD Seria32(lab)"," MASD Seria32(lab)"" MASD Seria32(lab)"," SAAPI Seria18(lab)"," SAAPI Seria18(lab)"," MPS Seria13(lab)"," MPS Seria13(lab)",,,,,,," POO Seria3(lab)"," POO Seria3(lab)"," POO Seria3(lab)"," POO Seria3(lab)"," PS Seria10(lab)"," PS Seria10(lab)"," POO Seria3(lab)"," POO Seria3(lab)"," GC Seria17(lab)"," GC Seria17(lab)"," MPS Seria13(lab)"," MPS Seria13(lab)",,," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," IOC Seria12(lab)"," POO Seria3(lab)"," POO Seria3(lab)",,,,,,," PS Seria10(lab)"," PS Seria10(lab)",,," MPS Seria13(lab)"," MPS Seria13(lab)"," AEACD Seria28(lab)"," AEACD Seria28(lab)"," POO Seria4(lab)"," POO Seria4(lab)",,,,,
EG410,,,,," IOCLA Seria5(lab)[2]"," IOCLA Seria5(lab)[2]"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,,,,,,,," IOCLA Seria4(lab)"," IOCLA Seria4(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)",,,,,,,,," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)",,,,,,," IOCLA Seria5(lab)"," IOCLA Seria5(lab)",,," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)",,,,,,,,," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," IOCLA Seria4(lab)"," IOCLA Seria4(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)",,,
EG302," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)",,,,,,,,,,," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)",,,,,,,,,,,,,,,,,,,,," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria2(lab)"," PL Seria2(lab)",,,,,,,,," PL Seria1(lab)"," PL Seria1(lab)",,," PL Seria1(lab)"," PL Seria1(lab)",,,,,,,
ED112,,," TS Seria5(lab)[1]"," TS Seria5(lab)[1]",,," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]",,,,," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(sem)[2]"," TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria3(lab)[1]"" TS Seria3(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria3(sem)[2]"," TS Seria3(sem)[2]",,," TS Seria5(sem)"," TS Seria5(sem)"," TS Seria5(sem)[2]"," TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," TS Seria5(lab)[1]"" TS Seria5(sem)[2]"," APPI Seria26(sem)[1]"," APPI Seria26(sem)[1]"," APPI Seria26(sem)[1]"" APPI Seria26(sem)[1]"," APPI Seria26(sem)[1]"" APPI Seria26(sem)[1]",,," TS Seria4(sem)[2]"," TS Seria4(sem)[2]"," TS Seria5(lab)[1]"," TS Seria5(lab)[1]"," TS Seria3(lab)[1]"," TS Seria3(lab)[1]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"" TS Seria4(sem)[2]"," TS Seria4(lab)[1]"," TS Seria4(lab)[1]",,,,,,,,," TS Seria3(lab)[1]"," TS Seria3(lab)[1]",,,,,,,
EC102,," INTEGRAREA SISTEMELOR INFORMATICE Seria13"," INTEGRAREA SISTEMELOR INFORMATICE Seria13"" Cloud Computing Seria16"," INTEGRAREA SISTEMELOR INFORMATICE Seria13"" Cloud Computing Seria16",,," Software Verification and Validation Seria29"," Software Verification and Validation Seria29"," Knowledge Representation and Reasoning Seria19"" Reprezentarea cunostintelor Seria20"," Knowledge Representation and Reasoning Seria19"" Reprezentarea cunostintelor Seria20"," Sisteme adaptive si colaborative Seria16"" Sisteme adaptive si colaborative Seria20"," Sisteme adaptive si colaborative Seria16"" Sisteme adaptive si colaborative Seria20",,," Metode Avansate in Sisteme Distribuite Seria32"," Metode Avansate in Sisteme Distribuite Seria32"," Sisteme avansate de analiza si prelucrare a imaginilor Seria18"," Sisteme avansate de analiza si prelucrare a imaginilor Seria18"," ECONOMIE GENERALA Seria7[2]"" ECONOMIE GENERALA Seria8[1]"," ECONOMIE GENERALA Seria7[2]"" ECONOMIE GENERALA Seria8[1]",,," Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria20"" Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria24"," Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria20"" Dezvoltarea aplicatiilor pentru Internet Java EE si .NET Seria24"," Managementul si Securitatea Informatiilor Seria21"," Managementul si Securitatea Informatiilor Seria21"," MSI Seria21(lab)"" MSI Seria21(lab)"," MSI Seria21(lab)"" MSI Seria21(lab)",," Prelucrarea Semnalelor Seria10"," Prelucrarea Semnalelor Seria10"," Prelucrarea Semnalelor Seria10"," Sisteme de incredere Seria32"," Sisteme de incredere Seria32"," Architectura orientata pe servicii a sistemelor informatice Seria15"" Architectura orientata pe servicii a sistemelor informatice Seria24"," Architectura orientata pe servicii a sistemelor informatice Seria15"" Architectura orientata pe servicii a sistemelor informatice Seria24"," Data Mining Seria19"," Data Mining Seria19"," Sisteme de Operare Seria22"," Sisteme de Operare Seria22",,,,,,," Analiza si Extragerea Automata a Continutului Documentelor Seria28"," Analiza si Extragerea Automata a Continutului Documentelor Seria28",,," Type Systems and Functional Programming Seria19"," Type Systems and Functional Programming Seria19"," Gestiunea serviciilor de retea Seria23"," Gestiunea serviciilor de retea Seria23",,,,," Securitatea informatica Seria27"" Securitatea informatica Seria30"" Securitatea informatica Seria34"," Securitatea informatica Seria27"" Securitatea informatica Seria30"" Securitatea informatica Seria34"," Sisteme avansate pentru baze de date Seria15"," Sisteme avansate pentru baze de date Seria15"," Politici si Strategii Seria31"," Politici si Strategii Seria31"," Managementul Proiectelor Seria31"," Managementul Proiectelor Seria31"," MPR Seria31(lab)"" MPR Seria31(lab)"," MPR Seria31(lab)"" MPR Seria31(lab)",,,
BN212," MP Seria12(sem)[1]"," MP Seria12(sem)[1]"," MP Seria11(sem)[1]"," MP Seria11(sem)[1]"," MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]"," MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria9(sem)[2]"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]",,,,,,,,," MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" BM Seria11(sem)[2]"," MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" MP Seria10(sem)[1]"" BM Seria10(sem)[2]"" BM Seria11(sem)[2]"," BM Seria9(sem)[2]"" BM Seria11(sem)[2]"" BM Seria12(sem)[2]"," BM Seria9(sem)[2]"" BM Seria11(sem)[2]"" BM Seria12(sem)[2]"," BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" MP Seria11(sem)[1]"" BM Seria11(sem)"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]"," BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" BM Seria9(sem)[2]"" MP Seria11(sem)[1]"" BM Seria11(sem)"" MP Seria13(sem)[1]"" BM Seria13(sem)[2]",,,,,,,,,,,,,,,,,," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"," MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]"" MMK Seria31(lab)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN217,,,,," Engleza Seria0(sem)[1]"," Engleza Seria0(sem)[1]"," Franceza Seria2(sem)[1]"," Franceza Seria2(sem)[1]",,,,,,," Engleza Seria3(sem)[2]"," Engleza Seria3(sem)[2]"," Engleza Seria3(sem)[1]"" Engleza Seria3(sem)[2]"," Engleza Seria3(sem)[1]"" Engleza Seria3(sem)[2]",,,,,,," PSA Seria31(lab)"" PSA Seria31(lab)"" PSA Seria31(lab)"," PSA Seria31(lab)"" PSA Seria31(lab)"" PSA Seria31(lab)",,," LFA Seria6(sem)"," LFA Seria6(sem)",,,,,,,,,,,,," Engleza Seria0(sem)[2]"," Engleza Seria0(sem)[2]"," Engleza Seria0(sem)[1]"" Engleza Seria5(sem)[2]"," Engleza Seria0(sem)[1]"" Engleza Seria5(sem)[2]"," Mat1 Seria1(sem)"," Mat1 Seria1(sem)"," Engleza Seria2(sem)[2]"," Engleza Seria2(sem)[2]",,,,,,,,," Engleza Seria2(sem)[1]"," Engleza Seria2(sem)[1]",,,,,,,,,,,
EB215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," Neural Networks Seria29"," Neural Networks Seria29"," NNT Seria29(p)[1]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"," NNT Seria29(p)[1]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"" NNT Seria29(p)[1]"" NNT Seria29(lab)[2]"," NNT Seria29(lab)[2]"," NNT Seria29(lab)[2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," MAP Seria22(p)"," MAP Seria22(p)"," AOSSI Seria24(lab)[1]"" AOSSI Seria24(lab)[2]"" AOSSI Seria24(lab)[1]"," AOSSI Seria24(lab)[1]"" AOSSI Seria24(lab)[2]"" AOSSI Seria24(lab)[1]",,," AOSSI Seria15(p)"," AOSSI Seria15(p)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BN230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," MFN Seria21(lab)"" MFN Seria21(lab)"," MFN Seria21(lab)"" MFN Seria21(lab)"," MFN Seria21(lab)"," MFN Seria21(lab)",,,,,,,,,
AN030," PROGRAMARE ORIENTATA OBIECT Seria4"," PROGRAMARE ORIENTATA OBIECT Seria4"," PROGRAMARE ORIENTATA OBIECT Seria4"," TEORIA SISTEMELOR Seria4"," TEORIA SISTEMELOR Seria4"," TEORIA SISTEMELOR Seria4"," ANALIZA ALGORITMILOR Seria5"," ANALIZA ALGORITMILOR Seria5"," ANALIZA ALGORITMILOR Seria5"," TEORIA SISTEMELOR Seria5"," TEORIA SISTEMELOR Seria5"," TEORIA SISTEMELOR Seria5",,,," PROIECTARE LOGICA Seria0"," PROIECTARE LOGICA Seria0"," PROIECTARE LOGICA Seria0"," PROGRAMAREA CALCULATOARELOR Seria0"," PROGRAMAREA CALCULATOARELOR Seria0"," MATEMATICA 2 Seria0"," MATEMATICA 2 Seria0"," MATEMATICA 2 Seria0",,,,,,," MATEMATICA 1 Seria1"," MATEMATICA 1 Seria1"," MATEMATICA 1 Seria1",,,,,," Management de resurse umane Seria21"," Management de resurse umane Seria21"," MRU Seria21(lab)"" MRU Seria21(lab)"," MRU Seria21(lab)"" MRU Seria21(lab)",," TEORIA SISTEMELOR Seria3"," TEORIA SISTEMELOR Seria3"," TEORIA SISTEMELOR Seria3",," PSIHOINVENTICA Seria5[2]"," PSIHOINVENTICA Seria5[2]",,," GRAFICA INGINEREASCA Seria0[1]"" MECANICA Seria0[2]"" GRAFICA INGINEREASCA Seria1[1]"" MECANICA Seria1[2]"" GRAFICA INGINEREASCA Seria2[1]"" MECANICA Seria2[2]"," GRAFICA INGINEREASCA Seria0[1]"" MECANICA Seria0[2]"" GRAFICA INGINEREASCA Seria1[1]"" MECANICA Seria1[2]"" GRAFICA INGINEREASCA Seria2[1]"" MECANICA Seria2[2]",,,,,,,,," PROGRAMAREA CALCULATOARELOR Seria2"," PROGRAMAREA CALCULATOARELOR Seria2",,,,,,,,,
ED011,,,,,,,,," PR Seria9(lab)"," PR Seria9(lab)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," PR Seria9(lab)"," PR Seria9(lab)",,,,,,,,,
R408,,,,,,,,,,,,,,,,," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)",,,,,,,,,,,,,,,,,,," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)"," EP Seria13(lab)",,,,,,,,,,," EP Seria13(lab)"," EP Seria13(lab)",,,,,,,,,
BN033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED321,,,,,,,,,,,,,,,,,,,,," Knowledge Engineering and Services Ecosystem Seria26"," Knowledge Engineering and Services Ecosystem Seria26"," KESE Seria26(lab)",,,,,,,,,,,,,,,,,,,,,,,,," Business Service Integration and Management Seria34[1]"," Business Service Integration and Management Seria34[1]"," Business Service Integration and Management Seria34[1]"," Business Service Integration and Management Seria34[1]",,,,,,,,,,,,,,,,,,,,
EG103b,,,,,,," POO Seria3(lab)"," POO Seria3(lab)"," SAC Seria16(lab)[1]"" SAC Seria16(lab)[2]"" SAC Seria16(lab)[1]"," SAC Seria16(lab)[1]"" SAC Seria16(lab)[2]"" SAC Seria16(lab)[1]",,," SAC Seria20(lab)"" SAC Seria20(lab)"," SAC Seria20(lab)"" SAC Seria20(lab)",,,,,,,,," POO Seria3(lab)"," POO Seria3(lab)",,,,,,,,,,," POO Seria3(lab)"," POO Seria3(lab)",,,,,,,,,,,,," TSFP Seria19(lab)"" TSFP Seria19(lab)"," TSFP Seria19(lab)"" TSFP Seria19(lab)",,," TSFP Seria19(lab)"," TSFP Seria19(lab)",,,,,,,,," POO Seria3(lab)"," POO Seria3(lab)",,,,,,,
