	 ###ORAR de folosire a salilor de laborator ####
	 Semestrul I    Anul universitar 2014 – 2015
,LUNI,,,,,,,,,,,,,,MARTI,,,,,,,,,,,,,,MIERCURI,,,,,,,,,,,,,,JOI,,,,,,,,,,,,,,VINERI,,,,,,,,,,,,,,
EG305," II Seria2(lab)[1]"," II Seria2(lab)[1]"," II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[1]"" II Seria1(lab)[1]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[2]"" II Seria0(lab)[1]"" II Seria1(lab)[1]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," Baze de Date II Seria11"," Baze de Date II Seria11"," Baze de Date II Seria11",," II Seria0(lab)[1]"," II Seria0(lab)[1]",,,,,,," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)",,," II Seria1(lab)[2]"," II Seria1(lab)[2]",,,,,,," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)"," MPSIT Seria26(lab)"," MPSIT Seria26(lab)"," Managementul Proiectelor si serviciilor IT Seria26"," Managementul Proiectelor si serviciilor IT Seria26"," MPSIT Seria26(lab)"" MPSIT Seria26(lab)"," MPSIT Seria26(lab)"" MPSIT Seria26(lab)",,,,," II Seria1(lab)[2]"," II Seria1(lab)[2]"," II Seria1(lab)[2]"" II Seria1(lab)[1]"" II Seria2(lab)[2]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," II Seria1(lab)[2]"" II Seria1(lab)[1]"" II Seria2(lab)[2]"" II Seria2(lab)[1]"" II Seria2(lab)[2]"," IOCLA Seria3(lab)"," IOCLA Seria3(lab)"," Proiectarea aplicatiilor J2EE Seria26"," Proiectarea aplicatiilor J2EE Seria26"," PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)"," PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)"" PAJ2EE Seria26(lab)",,," Implementarea sistemelor de baze de date Seria15"," Implementarea sistemelor de baze de date Seria15"," II Seria1(lab)[1]"," II Seria1(lab)[1]"," IOCLA Seria5(lab)"," IOCLA Seria5(lab)",,," IOCLA Seria3(lab)"," IOCLA Seria3(lab)",,,,,
EG404,,," IA Seria12(lab)"," IA Seria12(lab)"," IA Seria12(lab)"" IA Seria12(lab)"," IA Seria12(lab)"" IA Seria12(lab)",,," SVV Seria29(lab)"," SVV Seria29(lab)"," KRR Seria19(lab)"," KRR Seria19(lab)",,,,," CV Seria17(p)"," CV Seria17(p)"," IA Seria12(lab)"," IA Seria12(lab)"," Tehnici de programare pentru prelucrari grafice de inalta performanta Seria18"," Tehnici de programare pentru prelucrari grafice de inalta performanta Seria18"," Self-organizing Systems Seria29"," Self-organizing Systems Seria29"," SOS Seria29(p)"," SOS Seria29(p)",,,,,,," LFA Seria8(sem)"," LFA Seria8(sem)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," DM Seria19(p)"" DM Seria19(p)"," DM Seria19(p)"" DM Seria19(p)",,,,,,,,,,," IA Seria12(lab)"," IA Seria12(lab)"," RCS Seria20(lab)"," RCS Seria20(lab)",,,,,,," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)"," IA Seria11(lab)",,,,,,,
EG311," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," ISI Seria13(lab)"," ISI Seria13(lab)"," ISI Seria13(lab)"," ISI Seria13(lab)"," ISI Seria13(lab)"," ISI Seria13(lab)",,," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria2(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)",,," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," ISI Seria13(lab)"," ISI Seria13(lab)",,," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)"," PL Seria1(lab)",,,,,,," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)"," PL Seria0(lab)",,,,,,,
ED120," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)",,,,," APD Seria8(lab)"," APD Seria8(lab)",,," DAI Seria24(lab)[1]"" DAI Seria24(lab)[2]"" DAI Seria24(lab)[1]"," DAI Seria24(lab)[1]"" DAI Seria24(lab)[2]"" DAI Seria24(lab)[1]"," SCI Seria34(p)"," SCI Seria34(p)"," SCI Seria27(p)"," SCI Seria27(p)",,," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)",,," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria7(lab)"," APD Seria7(lab)",,," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria8(lab)"," APD Seria8(lab)",,," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria6(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)"," APD Seria7(lab)",,,
ED218,,," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)"," SI Seria10(lab)",,,,,,,,,,," Retele Wireless de Senzori Seria25"," Retele Wireless de Senzori Seria25"," RWS Seria25(p)"," RWS Seria25(p)",,,,,,," SI Seria10(lab)"," SI Seria10(lab)"," SPD Seria33(lab)"" SPD Seria33(lab)"," SPD Seria33(lab)"" SPD Seria33(lab)",,," SPD Seria33(lab)"," SPD Seria33(lab)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED314,,," EEA Seria5(sem)[2]"," EEA Seria5(sem)[2]"," EEA Seria5(sem)[2]"," EEA Seria5(sem)[2]"," EEA Seria3(sem)[1]"" EEA Seria4(sem)[2]"," EEA Seria3(sem)[1]"" EEA Seria4(sem)[2]"," EEA Seria4(sem)[2]"," EEA Seria4(sem)[2]",,,,," EEA Seria3(sem)[1]"" EEA Seria3(sem)[2]"," EEA Seria3(sem)[1]"" EEA Seria3(sem)[2]"," EEA Seria3(sem)[2]"" EEA Seria3(sem)[1]"" EEA Seria5(sem)[1]"," EEA Seria3(sem)[2]"" EEA Seria3(sem)[1]"" EEA Seria5(sem)[1]"," EEA Seria5(sem)[2]"" EEA Seria5(sem)[1]"," EEA Seria5(sem)[2]"" EEA Seria5(sem)[1]"," EEA Seria4(sem)[2]"," EEA Seria4(sem)[2]",,,,,,,,,,," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]",,,,,,,,,,,,,,,,,,,,,,,,,,," EEA Seria4(sem)[1]"," EEA Seria4(sem)[1]",,,,,,,
EG204,,,,,,,,,,,,,,,,,,," TM3D Seria18(lab)"," TM3D Seria18(lab)",,," MG3DTR Seria28(p)"," MG3DTR Seria28(p)"," Dezvoltarea Sistemelor de Realitate Virtuala Seria28"," Dezvoltarea Sistemelor de Realitate Virtuala Seria28"," DSRV Seria28(p)"," DSRV Seria28(p)",,,,,,,,,,,,,,,,," Tehnici de modelare 3D Seria18"," Tehnici de modelare 3D Seria18"," TM3D Seria18(lab)"," TM3D Seria18(lab)"," IRV Seria18(lab)"," IRV Seria18(lab)"," IRV Seria18(lab)"," IRV Seria18(lab)"," Introducere in Realitatea Virtuala Seria18"," Introducere in Realitatea Virtuala Seria18",,,,,,,,,,," Motoare de grafica 3D in timp real Seria28"," Motoare de grafica 3D in timp real Seria28"," Dezvoltarea aplicatiilor grafice pentru dispozitive mobile Seria28"," Dezvoltarea aplicatiilor grafice pentru dispozitive mobile Seria28"," DAGDM Seria28(lab)"," DAGDM Seria28(lab)",
EG205," CC Seria24(lab)"," CC Seria24(lab)",,," CC Seria16(lab)"" CC Seria16(lab)"," CC Seria16(lab)"" CC Seria16(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," AII Seria12(lab)",,," SPRC Seria11(lab)"," SPRC Seria11(lab)"," AII Seria12(lab)"," AII Seria12(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)",,," DAI Seria20(lab)"" DAI Seria20(lab)"," DAI Seria20(lab)"" DAI Seria20(lab)",,," Progr Seria0(lab)"," Progr Seria0(lab)"," SSI Seria32(lab)"" SSI Seria32(lab)"," SSI Seria32(lab)"" SSI Seria32(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Managementul Proiectelor si serviciilor IT Seria34"," Managementul Proiectelor si serviciilor IT Seria34"," MPSIT Seria34(lab)"" MPSIT Seria34(lab)"" MPSIT Seria34(lab)"," MPSIT Seria34(lab)"" MPSIT Seria34(lab)"" MPSIT Seria34(lab)",,," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)",,," AII Seria12(lab)"," AII Seria12(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)",,," PSD Seria27(lab)[1]"" PSD Seria34(lab)[2]"," PSD Seria27(lab)[1]"" PSD Seria34(lab)[2]",,," Progr Seria0(lab)"," Progr Seria0(lab)"," SPRC Seria11(lab)"," SPRC Seria11(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)"," Progr Seria0(lab)",,,,,
EG207," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria6(lab)",,," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria8(lab)"," RL Seria8(lab)",,,,,,,,,,," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)",,," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria8(lab)"," RL Seria8(lab)",,," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria6(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)"," RL Seria7(lab)",,,,,,,
EG304,,," SPG Seria12(lab)"," SPG Seria12(lab)"," EGC Seria6(lab)"" EGC Seria7(lab)"," EGC Seria6(lab)"" EGC Seria7(lab)"," EGC Seria6(lab)"," EGC Seria6(lab)"," EGC Seria6(lab)"," EGC Seria6(lab)"," EGC Seria6(lab)"," EGC Seria6(lab)",,," SPG Seria12(lab)"," SPG Seria12(lab)"," SPG Seria12(lab)"," SPG Seria12(lab)",,,,," TPPGIP Seria18(lab)"," TPPGIP Seria18(lab)"," EGC Seria6(lab)"," EGC Seria6(lab)",,," EGC Seria8(lab)"," EGC Seria8(lab)"," EGC Seria8(lab)"," EGC Seria8(lab)"," EGC Seria7(lab)"," EGC Seria7(lab)"," EGC Seria7(lab)"," EGC Seria7(lab)",,," EGC Seria6(lab)"," EGC Seria6(lab)",,," EGC Seria8(lab)"," EGC Seria8(lab)"," EGC Seria8(lab)"," EGC Seria8(lab)"," TPPGIP Seria18(lab)"," TPPGIP Seria18(lab)"," EGC Seria6(lab)"," EGC Seria6(lab)"," SPG Seria12(lab)"," SPG Seria12(lab)"," SPG Seria12(lab)"," SPG Seria12(lab)",,," EGC Seria6(lab)"," EGC Seria6(lab)",,,,,,,,," EGC Seria7(lab)"," EGC Seria7(lab)",,,
EG306," USO Seria1(lab)"," USO Seria1(lab)"," Progr Seria1(lab)"," Progr Seria1(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)",,," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria2(lab)",,," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria2(lab)"," USO Seria2(lab)",,," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)",,," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria2(lab)"," USO Seria2(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria0(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)"," USO Seria1(lab)",,,
